LASCO CME Y/M/D (UT),Disturbance Y/M/D (UT),Dst (nT)
2001/12/26 0530,2001/12/29 0538,-58
2002/02/28 1700,2002/02/28 0451,-71
2002/03/15 2306,2002/03/18 1322,-37
2002/03/21 1400,2002/03/20 1328,-13
2002/03/20 1706,2002/03/23 1137,-100
2002/04/12 0100,2002/04/12 0100,-32
2002/04/15 0350,2002/04/17 1107,-127
2002/04/17 0826,2002/04/19 0835,-149
2002/05/08 1350,2002/05/11 1014,-110
2002/05/16 0050,2002/05/20 0340,-36
2002/05/22 0326,2002/05/23 1050,-109
2002/07/15 2030,2002/07/17 1603,-17
2002/07/20 0200,2002/07/19 1450,-36
2002/07/31 2200,2002/07/31 1100,-21
2002/08/01 0900,2002/08/01 0510,-51
2002/07/29 1207,2002/08/01 2309,-102
2002/08/16 1230,2002/08/18 1846,-106
2002/08/29 2100,2002/08/29 2100,-42
2002/09/07 1200,2002/09/07 1200,-41
2002/09/05 1654,2002/09/07 1636,-181
2002/09/08 2200,2002/09/08 2000,-82
2002/09/17 0806,2002/09/19 0600,-40
2002/09/30 2000,2002/09/30 0815,-176
2002/10/03 0100,2002/10/02 2210,-146
2002/11/17 1000,2002/11/16 2305,-52
2002/12/17 1800,2002/12/17 1800,-30
2002/12/21 0300,2002/12/20 1700,-75
2003/01/27 0100,2003/01/26 0000,-20
2003/01/30 1006,2003/02/01 1305,-72
2003/02/18 0400,2003/02/17 2150,-17
2003/03/20 1200,2003/03/20 0440,-64
2003/05/09 0700,2003/05/09 0455,-84
2003/05/29 1300,2003/05/29 1224,-49
2003/05/28 0050,2003/05/29 1825,-144
2003/05/29 0127,2003/05/30 1600,-63
2003/06/15 2000,2003/06/15 1500,-68
2003/06/14 0154,2003/06/16 1800,-141
2003/07/23 1400,2003/07/23 1400,-26
2003/08/04 2200,2003/08/04 1700,-60
2003/08/16 0200,2003/08/15 1200,-11
2003/08/14 2006,2003/08/17 1421,-148
2003/10/22 0200,2003/10/21 2200,-61
2003/10/22 0830,2003/10/24 1524,-36
2003/10/25 1400,2003/10/25 1100,-49
2003/10/26 2200,2003/10/26 1908,-52
2003/10/26 1754,2003/10/28 0206,-32
2003/10/28 1130,2003/10/29 0611,-353
2003/10/29 2054,2003/10/30 1619,-383
2003/11/18 0850,2003/11/20 0803,-422
2004/01/10 0600,2004/01/09 1500,-45
2004/01/20 0006,2004/01/22 0137,-130
2004/01/21 0454,2004/01/23 1425,-81
2004/02/17 1800,2004/02/17 1800,-24
2004/03/31 1036,2004/04/03 0900,-117
2004/04/26 1700,2004/04/26 1604,0
2004/05/01 0000,2004/04/30 1300,-34
2004/05/01 1500,2004/05/01 1200,-13
2004/07/20 1331,2004/07/22 1036,-99
2004/07/22 0731,2004/07/24 0613,-136
2004/07/25 1454,2004/07/26 2249,-170
2004/08/01 0900,2004/08/01 0100,-33
2004/08/29 1900,2004/08/29 0909,-129
2004/09/12 0036,2004/09/13 2003,-38
2004/09/14 1010,2004/09/17 2100,-33
2004/11/04 2330,2004/11/07 1827,-374
2004/11/07 1654,2004/11/09 1825,-263
2004/11/10 0226,2004/11/11 1710,-92
2004/12/8 2026,2004/12/11 1340,-56
2004/12/27 1600,2004/12/27 0500,-47
2005/01/04 0616,2005/01/07 0922,-93
2005/01/13 1754,2005/01/16 1100,-65
2005/01/17 0930,2005/01/18 2100,-80
2005/01/20 0654,2005/01/21 1711,-97
2005/01/31 1400,2005/01/31 0900,-28
2005/02/18 1400,2005/02/17 2200,-80
2005/02/17 0006,2005/02/20 1200,-43
2005/02/22 1400,2005/02/22 1000,-2
2005/05/13 1712,2005/05/15 0238,-247
2005/05/16 1350,2005/05/20 0300,-83
2005/05/29 0300,2005/05/28 0436,-33
2005/05/26 1506,2005/05/29 0952,-113
2005/06/09 1436,2005/06/12 0745,-106
2005/06/15 0500,2005/06/14 1835,-34
2005/06/16 1700,2005/06/16 0847,-40
2005/07/07 1706,2005/07/10 0337,-92
2005/07/17 1400,2005/07/17 0134,-67
2005/08/05 0854,2005/08/09 0000,-23
2005/08/10 0600,2005/08/10 0600,-47
2005/08/31 1130,2005/09/02 1419,-60
