LASCO CME Y/M/D (UT),TransitTime,Geoeffective
2016-01-14 23:24:00,94.55,1
2016-04-10 11:12:00,92.38333333333334,1
2016-10-08 21:09:00,97.05,1
2016-11-05 04:24:00,97.66666666666667,1
2017-05-23 05:36:00,105.96666666666667,1
2017-07-14 01:25:00,52.56666666666667,1
2017-09-06 12:24:00,34.63333333333333,1
2018-03-06 01:30:00,88.65,1
2018-08-20 21:24:00,100.6,1
2019-05-07 04:42:00,85.2,1
2020-04-14 21:54:00,124.61666666666666,1
2020-09-29 12:09:00,139.95,1
2021-05-09 12:00:00,66.61666666666666,1
2021-08-23 06:36:00,90.63333333333334,1
2021-09-28 06:24:00,75.6,1
2021-10-09 07:12:00,67.23333333333333,1
2021-11-01 02:00:00,65.7,1
2022-01-16 20:48:00,50.86666666666667,1
2022-01-29 23:36:00,70.73333333333333,1
2022-02-06 14:00:00,79.0,1
2022-03-09 23:48:00,82.98333333333333,1
2022-04-11 05:48:00,75.2,1
2022-07-03 03:09:00,101.85,1
2022-07-05 04:36:00,69.4,1
2022-07-15 15:48:00,77.51666666666667,1
2022-08-16 15:24:00,74.11666666666666,1
2022-12-30 16:53:00,100.11666666666666,1
2023-02-25 19:24:00,38.6,1
2023-03-12 19:12:00,57.25,1
2023-03-20 02:41:00,74.31666666666666,1
2023-04-21 18:12:00,47.43333333333333,1
2023-07-04 04:12:00,79.8,1
2023-07-10 04:00:00,108.18333333333334,1
2023-07-14 19:03:00,48.31666666666667,1
2023-07-23 15:06:00,55.45,1
2023-08-02 09:12:00,65.71666666666667,1
2023-08-30 22:00:00,54.56666666666667,1
2023-09-16 09:12:00,52.31666666666667,1
2023-09-22 02:24:00,66.31666666666666,1
2023-11-09 12:23:00,65.83333333333333,1
2023-11-28 20:24:00,61.03333333333333,1
2023-12-12 00:00:00,83.8,1
2023-12-14 08:36:00,71.05,1
